name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	frontal	unused
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A20	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A21	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A23	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A24	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A25	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A26	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A27	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A28	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A35	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
