name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
A2	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A3	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A4	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A5	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A6	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A7	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
A8	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A9	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A10	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A11	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A12	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A39	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
