name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A5	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	parietal	other
A6	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	central	other
A7	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	central	other
A8	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	frontal	other
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	frontal	unused
A11	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A12	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A13	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A14	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A15	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A16	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	frontal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	frontal	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	frontal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	frontal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	frontal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A24	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	frontal	unused
A25	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
