name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	temporal	unused
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	temporal	unused
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	temporal	unused
A28	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	temporal	unused
A29	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A32	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A33	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A35	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A38	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A39	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	occipital	unused
A40	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	occipital	unused
A41	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A42	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A43	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A44	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A45	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A46	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A47	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	parietal	unused
A48	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A49	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A50	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A51	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A52	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A53	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
A54	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A55	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A56	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A57	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	temporal	unused
A58	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A59	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A60	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A61	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A62	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A63	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A64	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
B9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B11	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	frontal	unused
B12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B16	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	central	unused
B17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
B22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
B23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
B24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
B25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
