name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A22	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A29	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
