name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A7	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A8	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A10	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A21	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A24	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A25	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A26	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A27	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A33	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
A34	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
A35	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A40	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A43	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A44	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
B1	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
B2	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
B5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B9	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
B10	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
B11	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
B12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B15	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
B16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B17	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
B18	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
B19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B23	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
