name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A2	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A3	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A6	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A7	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A8	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A9	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A10	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A15	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A26	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A27	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A28	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A29	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A35	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A39	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	occipital	unused
A40	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A41	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A42	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	occipital	unused
