name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A21	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A22	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A23	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A24	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A29	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A33	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A35	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A37	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A38	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A39	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A40	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A41	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A42	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A43	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A44	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A45	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A46	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A47	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A48	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B8	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
B9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B31	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
B32	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
B33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
