name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A3	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A4	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A5	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A6	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A7	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A10	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A11	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A40	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A44	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
