name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A5	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A18	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A19	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A20	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A21	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A22	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A23	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A26	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
