name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A3	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A7	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A8	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A12	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A13	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A14	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A15	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A22	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A23	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A26	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A27	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A28	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A29	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A30	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A31	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A38	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A39	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A40	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A41	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A42	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A43	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A44	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A45	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A46	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A47	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A48	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A49	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A50	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A51	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A52	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A53	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A54	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A55	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A56	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A57	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A58	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	parietal	unused
A59	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A60	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A61	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
A62	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
A63	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
A64	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
B1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
B2	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B3	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B5	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B6	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B7	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B8	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B9	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
B10	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B14	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B15	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
B18	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B20	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B22	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
B23	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
B24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B25	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
B26	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B27	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
B28	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
B29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B30	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
B31	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
B32	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
B33	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
B34	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
B35	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
B36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B38	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
B39	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
B40	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
B41	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
B42	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
B43	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B44	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B47	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B48	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	central	trained
B49	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
B50	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
B51	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B52	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B53	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B54	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B55	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B56	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B57	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
B58	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
B59	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B60	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B61	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B62	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B63	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B64	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
