name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A2	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
A3	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
A4	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A5	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	parietal	unused
A7	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	central	unused
A8	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A15	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A16	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A17	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A19	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A20	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A26	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A32	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A33	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A34	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A35	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A36	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A37	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A38	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A39	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A40	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A41	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A42	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A43	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A44	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A47	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	frontal	unused
A48	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A49	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
