name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A2	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A3	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A7	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A8	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A9	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A18	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A19	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A20	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A21	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A22	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A23	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A24	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A25	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
