name	x	y	z	size
B1	-26.3487606048584	-47.8502388000488	-20.1340522766113	0
B2	-26.5218467712402	-43.2709770202637	-22.1338138580322	0
B3	-22.5288200378418	-31.1064796447754	-23.8839073181152	0
B4	-20.0392646789551	-19.5339622497559	-31.5114555358887	0
B5	-24.4451637268066	-7.69391632080078	-38.3223342895508	0
B6	-27.2684364318848	-2.34162473678589	-39.7542495727539	0
B7	-26.4176979064941	5.95615577697754	-45.9429321289062	0
B8	-27.9541835784912	15.7322187423706	-41.057243347168	0
B9	-31.0136661529541	19.0959243774414	-37.8273391723633	0
B10	-42.9925422668457	18.8858585357666	-27.9190483093262	0
B11	-25.6927433013916	-2.75563597679138	-39.5488624572754	0
B12	-33.7104415893555	1.87651407718658	-45.3309516906738	0
B13	-37.792121887207	2.82561206817627	-41.9091949462891	0
B14	-49.2709312438965	3.44576191902161	-37.1552734375	0
B15	-54.3844985961914	2.38399791717529	-34.5151252746582	0
B17	-17.8072929382324	-69.9213180541992	-13.4920425415039	0
B18	-28.3248043060303	-62.8507080078125	-17.4519290924072	0
B19	-33.5117149353027	-54.1378860473633	-19.8952445983887	0
B20	-37.9279937744141	-48.8181381225586	-24.032844543457	0
B21	-53.8726692199707	-45.0154800415039	-27.7542362213135	0
B22	-56.0044631958008	-39.1282730102539	-22.321268081665	0
B23	-56.3152236938477	-21.0808296203613	-35.2523002624512	0
B24	-62.7551345825195	-12.8136186599731	-25.0069522857666	0
B25	-20.8410739898682	-98.4708251953125	-18.4910545349121	0
B26	-25.2949390411377	-91.129020690918	-16.9482460021973	0
B27	-31.052562713623	-88.0871734619141	-18.9027290344238	0
B28	-42.8288612365723	-86.9640045166016	-12.001974105835	0
B29	-45.5921440124512	-82.1871185302734	-10.8073453903198	0
B30	-43.9390411376953	-80.3485870361328	-6.76653289794922	0
B31	-56.3737411499023	-60.2636909484863	-11.6662654876709	0
B32	-65.8586807250977	-48.4512786865234	-3.08201694488525	0
B33	-14.8646211624146	35.4825134277344	-25.7919979095459	0
B34	-19.7060108184814	34.9301071166992	-22.7845764160156	0
B35	-29.2802219390869	25.7996273040771	-23.0733222961426	0
B36	-38.2975234985352	22.9647064208984	-19.8532218933105	0
