name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A3	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A5	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A6	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A10	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A22	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A23	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A26	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A27	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A32	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
