name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A7	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A10	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A11	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A12	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A13	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A14	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A15	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A18	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A22	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A23	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A26	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	frontal	unused
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
